LONG_EAST,LAT_NORTH, TOPOGRAPHY,            UTC         
138.90816, -5.85970,   -1037.26,1999-03-05T11:57:24.941
138.90883, -5.85460,   -1003.84,1999-03-05T11:57:24.841
138.90950, -5.84950,   -1002.13,1999-03-05T11:57:24.741
138.91017, -5.84440,   -1048.25,1999-03-05T11:57:24.641
138.91085, -5.83930,   -1125.92,1999-03-05T11:57:24.541
138.92851, -5.70670,   -1350.36,1999-03-05T11:57:21.941
138.92919, -5.70160,   -1350.48,1999-03-05T11:57:21.841
138.92987, -5.69650,   -1356.90,1999-03-05T11:57:21.741
138.93056, -5.69140,   -1366.29,1999-03-05T11:57:21.641
138.93124, -5.68630,   -1369.72,1999-03-05T11:57:21.541
138.94542, -5.57910,   -1193.86,1999-03-05T11:57:19.441
138.94609, -5.57400,   -1120.50,1999-03-05T11:57:19.341
138.94676, -5.56890,   -1037.08,1999-03-05T11:57:19.241
138.94742, -5.56380,   -1033.01,1999-03-05T11:57:19.141
138.94809, -5.55870,   -1046.13,1999-03-05T11:57:19.041
138.95788, -5.48190,   -1275.26,1999-03-05T11:57:17.541
138.95853, -5.47680,   -1319.88,1999-03-05T11:57:17.441
138.95919, -5.47170,   -1360.17,1999-03-05T11:57:17.341
138.95985, -5.46660,   -1397.60,1999-03-05T11:57:17.241
138.96050, -5.46150,   -1410.74,1999-03-05T11:57:17.141
138.97438, -5.35420,   -1310.81,1999-03-05T11:57:15.041
138.97508, -5.34910,   -1315.61,1999-03-05T11:57:14.941
138.97642, -5.33890,   -1362.34,1999-03-05T11:57:14.741
138.99781, -5.17570,   -1695.88,1999-03-05T11:57:11.540
138.99847, -5.17060,   -1677.23,1999-03-05T11:57:11.440
138.99914, -5.16550,   -1616.13,1999-03-05T11:57:11.340
138.99980, -5.16040,   -1581.10,1999-03-05T11:57:11.240
139.00047, -5.15530,   -1567.96,1999-03-05T11:57:11.140
139.01037, -5.07870,   -1452.13,1999-03-05T11:57:09.640
139.01103, -5.07360,   -1448.11,1999-03-05T11:57:09.540
139.01169, -5.06850,   -1435.32,1999-03-05T11:57:09.440
139.01235, -5.06340,   -1409.30,1999-03-05T11:57:09.340
139.01302, -5.05830,   -1376.30,1999-03-05T11:57:09.240
